Name,Company,Position,Net,Description,Quotes,Source
Lloyd Blankfein,Goldman Sachs,Former CEO,$1 billion,Called for those with “lower risk to the disease” to return to work within a few weeks.,"“Extreme measures to flatten the virus “curve” is sensible-for a time-to stretch out the strain on health infrastructure. But crushing the economy, jobs and morale is also a health issue-and beyond. Within a very few weeks let those with a lower risk to the disease return to work.”",https://twitter.com/lloydblankfein/status/1241907502662418437
Richard “Dick” Kovacevich,Wells Fargo,Former CEO,$1 Million - $5 Million (Approx.),Called for healthy workers under 55 to return to work by April.,"""We'll gradually bring those people back and see what happens. Some of them will get sick, some may even die, I don't know.” ""Do you want to suffer more economically or take some risk that you'll get flu-like symptoms and a flu-like experience? Do you want to take an economic risk or a health risk? You get to choose.""",https://www.businessinsider.com/richard-kovacevich-former-wells-fargo-ceo-work-die-coronavirus-pandemic-2020-3
José E. Almeida,Covidien,CEO,$16.6 million,"The medical supply manufacturer Covidien bought the company Newport Medical Instruments, which was contracted by DHHS to manufacture cheaper portable ventilators, in 2012. Once acquired, Covidien then halted the project and exited the contract, supposedly to prevent a cheaper ventilator product from pushing their product out of the market. This ultimately contributed to the ventilator shortage during the COVID-19 pandemic.",N/A,https://www.nytimes.com/2020/03/29/business/coronavirus-us-ventilator-shortage.html
Gary Cohn,N/A,"Former chief economic adviser, White House",$400 million,Recommended businesses reopen “incrementally” during the crisis.,"""We should be able to handle incremental economic activity in appropriate locations while not allowing it in other geographies.”",https://thehill.com/policy/finance/489310-gary-cohn-says-economy-could-be-reopened-on-incremental-basis
Larry Kudlow,N/A,"Chief economic adviser, White House",$2 million,Claimed virus was contained in February 2020.,"“We have contained this. I won’t say [it’s] airtight, but it’s pretty close to airtight.”",https://www.cnbc.com/2020/02/25/larry-kudlow-says-us-has-contained-the-coronavirus-and-the-economy-is-holding-up-nicely.html
Suzanne Scott,Fox News,CEO,Unknown,"Oversees Fox News, whose anchors have been criticized for downplaying the crisis and peddling misinformation.",,https://www.nytimes.com/2020/03/22/business/coronavirus-fox-news-lachlan-murdoch.html
,,,,,,
Kevin Hassett,N/A,"Economic adviser, White House",Unknown,Advised the president to reopen the economy during the pandemic.,“You really can’t shut down the global economy for six months and expect anything to continue.”,https://thehill.com/homenews/administration/488611-economist-kevin-hassett-returns-to-white-house-to-advise-trump-amid
Dan Patrick,N/A,"Lieutenant Governor, Texas",Unknown,Implied workers should be sacrificed to improve the economy.,"“My message is, let’s get back to work. Let’s get back to living. Let’s be smart about it. And those of us who are 70-plus [years old], we’ll take care of ourselves. But don’t sacrifice the country.”",https://www.nbcnews.com/news/us-news/texas-lt-gov-dan-patrick-suggests-he-other-seniors-willing-n1167341
Tilman Fertitta,"Landry’s, Inc.",CEO,$4.4 billion,"Laid off 40,000 workers; called for businesses to reopen with limited capacity during the crisis.",“I think what we are doing with the shut-down is good but in a few weeks people will need to be around people. Otherwise you are going to go into an economic crisis that is going to take us years to dig ourselves out of.”,https://www.bloomberg.com/news/articles/2020-03-24/billionaire-fertitta-furloughs-40-000-warns-of-economic-crisis
Thomas J. Donohue,US Chamber of Commerce,CEO,$16 million,Lobbied against the deployment of the Defense Protection Act.,N/A,https://thehill.com/business-a-lobbying/business-a-lobbying/490060-unions-urge-chamber-of-commerce-to-stop-lobbying
"Jerry Falwell, Jr.",Liberty University,President,$100 million,Reopened Liberty University in the midst of the crisis.,"“99 percent of [students] are not at the age to be at risk and they don't have conditions that put them at risk.""",https://www.nytimes.com/2020/03/29/us/politics/coronavirus-liberty-university-falwell.html?smtyp=cur&smid=tw-nytpolitics https://www.nbcnews.com/think/opinion/trump-s-coronavirus-quarantine-rhetoric-fuels-dangerously-politicized-pandemic-ncna1170406
Joel Freedman,Broad Street Healthcare Properties,Unknown,Unknown,"Bought and closed Hahnemann Hospital in Philadelphia. When city officials asked to use the hospital to treat COVID-19 patients, Freedman requested they “buy the hospital or lease it for almost $1 million a month, including utilities and other costs.”",N/A,https://www.nytimes.com/2020/03/27/us/coronavirus-philadelphia-hahnemann-hospital.html
Daniel Turner,Power The Future,Founder and Executive Director,Unknown,Peddled the narrative that COVID-19 accomplishes the same ends as climate activism.,“Coronavirus is a glimpse of the long-term pain a Green New Deal and environmental radicalism would inflict on America.”,https://thefederalist.com/2020/03/13/how-the-wuhan-virus-is-accomplishing-the-green-new-deals-goals/
Rush Limbaugh,N/A,Radio Personality,$500 million,Insisted that COVID-19 is just the “common cold” and railed against media “hype.”,"""It looks like the coronavirus is being weaponized as yet another element to bring down Donald Trump.”",https://www.politifact.com/factchecks/2020/feb/27/rush-limbaugh/fact-checking-rush-limbaughs-misleading-claim-new-/
Richard Epstein,Hoover Institution,Fellow,Unknown,"Penned the article “Coronavirus Perspective,” which has circulated within the president’s administration, downplaying the danger of the virus.","“I fully understand the need for immediate responses to immediate threats, like fires, but not for crises that may last for three months or more.”",https://www.newyorker.com/news/q-and-a/the-contrarian-coronavirus-theory-that-informed-the-trump-administration https://www.hoover.org/research/coronavirus-isnt-pandemic
Michael Knowles,The Daily Wire,Political Commentator,Unknown,"Consistently downplayed severity of COVID-19, called for reopening the economy.","“All right, enough of this. Time to start reopening.”",https://twitter.com/michaeljknowles/status/1244050622745214976
Apoorva Mehta,Instacart,CEO,$400 million,"Mass hired workers to meet demand during the crisis without offering hazard pay, protective equipment, or paid sick time.",,https://www.npr.org/2020/03/30/823767492/amazon-instacart-grocery-delivery-workers-strike-for-coronavirus-protection-and-
Jared Kushner,,,,,,
